eigenvalue	percentage of variance	cumulative percentage of variance
2.276479e-01	1.458800e+00	1.458800e+00
1.907787e-01	1.222537e+00	2.681337e+00
1.307745e-01	8.380216e-01	3.519358e+00
1.181981e-01	7.574302e-01	4.276788e+00
1.137613e-01	7.289984e-01	5.005787e+00
9.865189e-02	6.321752e-01	5.637962e+00
9.111299e-02	5.838648e-01	6.221827e+00
8.811755e-02	5.646697e-01	6.786497e+00
7.901101e-02	5.063137e-01	7.292810e+00
7.807294e-02	5.003024e-01	7.793113e+00
6.802394e-02	4.359070e-01	8.229020e+00
6.666182e-02	4.271783e-01	8.656198e+00
6.317086e-02	4.048078e-01	9.061006e+00
6.084729e-02	3.899180e-01	9.450924e+00
6.035878e-02	3.867876e-01	9.837711e+00
5.897505e-02	3.779204e-01	1.021563e+01
5.585715e-02	3.579405e-01	1.057357e+01
5.455054e-02	3.495675e-01	1.092314e+01
5.238489e-02	3.356897e-01	1.125883e+01
5.153309e-02	3.302313e-01	1.158906e+01
5.091846e-02	3.262927e-01	1.191535e+01
4.977177e-02	3.189445e-01	1.223430e+01
4.904226e-02	3.142697e-01	1.254857e+01
4.830653e-02	3.095550e-01	1.285812e+01
4.733960e-02	3.033588e-01	1.316148e+01
4.671299e-02	2.993434e-01	1.346083e+01
4.611414e-02	2.955059e-01	1.375633e+01
4.591534e-02	2.942320e-01	1.405056e+01
4.478539e-02	2.869911e-01	1.433755e+01
4.455764e-02	2.855317e-01	1.462309e+01
4.405750e-02	2.823266e-01	1.490541e+01
4.364425e-02	2.796785e-01	1.518509e+01
4.271915e-02	2.737503e-01	1.545884e+01
4.224413e-02	2.707063e-01	1.572955e+01
4.125131e-02	2.643442e-01	1.599389e+01
4.100567e-02	2.627701e-01	1.625666e+01
4.072091e-02	2.609453e-01	1.651761e+01
4.010254e-02	2.569827e-01	1.677459e+01
3.959368e-02	2.537219e-01	1.702831e+01
3.893205e-02	2.494821e-01	1.727779e+01
3.861262e-02	2.474351e-01	1.752523e+01
3.827147e-02	2.452490e-01	1.777048e+01
3.808965e-02	2.440838e-01	1.801456e+01
3.754159e-02	2.405718e-01	1.825513e+01
3.695258e-02	2.367973e-01	1.849193e+01
3.659813e-02	2.345260e-01	1.872646e+01
3.642501e-02	2.334166e-01	1.895987e+01
3.596058e-02	2.304405e-01	1.919031e+01
3.561921e-02	2.282529e-01	1.941857e+01
3.527357e-02	2.260380e-01	1.964460e+01
3.499554e-02	2.242563e-01	1.986886e+01
3.404663e-02	2.181756e-01	2.008704e+01
3.346999e-02	2.144804e-01	2.030152e+01
3.325449e-02	2.130995e-01	2.051462e+01
3.289427e-02	2.107911e-01	2.072541e+01
3.247591e-02	2.081102e-01	2.093352e+01
3.241251e-02	2.077040e-01	2.114122e+01
3.194052e-02	2.046793e-01	2.134590e+01
3.163678e-02	2.027330e-01	2.154863e+01
3.114870e-02	1.996053e-01	2.174824e+01
3.108764e-02	1.992140e-01	2.194745e+01
3.085564e-02	1.977273e-01	2.214518e+01
3.072429e-02	1.968856e-01	2.234207e+01
3.009777e-02	1.928707e-01	2.253494e+01
3.002039e-02	1.923749e-01	2.272731e+01
2.965751e-02	1.900495e-01	2.291736e+01
2.946268e-02	1.888010e-01	2.310616e+01
2.914437e-02	1.867612e-01	2.329292e+01
2.891940e-02	1.853196e-01	2.347824e+01
2.868536e-02	1.838198e-01	2.366206e+01
2.848987e-02	1.825671e-01	2.384463e+01
2.828870e-02	1.812780e-01	2.402591e+01
2.800770e-02	1.794773e-01	2.420539e+01
2.792636e-02	1.789560e-01	2.438434e+01
2.761921e-02	1.769878e-01	2.456133e+01
2.721797e-02	1.744166e-01	2.473575e+01
2.719711e-02	1.742829e-01	2.491003e+01
2.710492e-02	1.736921e-01	2.508372e+01
2.697476e-02	1.728580e-01	2.525658e+01
2.647108e-02	1.696304e-01	2.542621e+01
2.639527e-02	1.691446e-01	2.559535e+01
2.624790e-02	1.682002e-01	2.576355e+01
2.621560e-02	1.679932e-01	2.593155e+01
2.596318e-02	1.663757e-01	2.609792e+01
2.582173e-02	1.654693e-01	2.626339e+01
2.576400e-02	1.650993e-01	2.642849e+01
2.567356e-02	1.645198e-01	2.659301e+01
2.540349e-02	1.627891e-01	2.675580e+01
2.524703e-02	1.617865e-01	2.691759e+01
2.521832e-02	1.616026e-01	2.707919e+01
2.493793e-02	1.598058e-01	2.723900e+01
2.486370e-02	1.593301e-01	2.739833e+01
2.469230e-02	1.582317e-01	2.755656e+01
2.453204e-02	1.572048e-01	2.771376e+01
2.435564e-02	1.560744e-01	2.786984e+01
2.430127e-02	1.557260e-01	2.802556e+01
2.415497e-02	1.547884e-01	2.818035e+01
2.407398e-02	1.542694e-01	2.833462e+01
2.393864e-02	1.534022e-01	2.848802e+01
2.386330e-02	1.529194e-01	2.864094e+01
2.381194e-02	1.525902e-01	2.879353e+01
2.358337e-02	1.511255e-01	2.894466e+01
2.343958e-02	1.502041e-01	2.909486e+01
2.338340e-02	1.498441e-01	2.924471e+01
2.327275e-02	1.491351e-01	2.939384e+01
2.312750e-02	1.482043e-01	2.954205e+01
2.309559e-02	1.479998e-01	2.969004e+01
2.291215e-02	1.468243e-01	2.983687e+01
2.276913e-02	1.459078e-01	2.998278e+01
2.264628e-02	1.451205e-01	3.012790e+01
2.260731e-02	1.448708e-01	3.027277e+01
2.256171e-02	1.445786e-01	3.041735e+01
2.249628e-02	1.441593e-01	3.056151e+01
2.231680e-02	1.430092e-01	3.070452e+01
2.226477e-02	1.426758e-01	3.084719e+01
2.225435e-02	1.426090e-01	3.098980e+01
2.202440e-02	1.411355e-01	3.113094e+01
2.195325e-02	1.406795e-01	3.127162e+01
2.184681e-02	1.399974e-01	3.141161e+01
2.180436e-02	1.397254e-01	3.155134e+01
2.179291e-02	1.396520e-01	3.169099e+01
2.162692e-02	1.385883e-01	3.182958e+01
2.151813e-02	1.378912e-01	3.196747e+01
2.143867e-02	1.373820e-01	3.210485e+01
2.138988e-02	1.370693e-01	3.224192e+01
2.131927e-02	1.366169e-01	3.237854e+01
2.119166e-02	1.357992e-01	3.251434e+01
2.116853e-02	1.356509e-01	3.264999e+01
2.099826e-02	1.345598e-01	3.278455e+01
2.096529e-02	1.343485e-01	3.291890e+01
2.092508e-02	1.340908e-01	3.305299e+01
2.084348e-02	1.335679e-01	3.318656e+01
2.082365e-02	1.334409e-01	3.332000e+01
2.074173e-02	1.329159e-01	3.345291e+01
2.069817e-02	1.326368e-01	3.358555e+01
2.057536e-02	1.318498e-01	3.371740e+01
2.050480e-02	1.313976e-01	3.384880e+01
2.043084e-02	1.309237e-01	3.397972e+01
2.030848e-02	1.301396e-01	3.410986e+01
2.022809e-02	1.296244e-01	3.423948e+01
2.012866e-02	1.289873e-01	3.436847e+01
2.008033e-02	1.286776e-01	3.449715e+01
2.003885e-02	1.284118e-01	3.462556e+01
1.999450e-02	1.281276e-01	3.475369e+01
1.998140e-02	1.280436e-01	3.488173e+01
1.990495e-02	1.275537e-01	3.500929e+01
1.987762e-02	1.273786e-01	3.513666e+01
1.976690e-02	1.266691e-01	3.526333e+01
1.974441e-02	1.265249e-01	3.538986e+01
1.962093e-02	1.257337e-01	3.551559e+01
1.959534e-02	1.255697e-01	3.564116e+01
1.950864e-02	1.250141e-01	3.576618e+01
1.947359e-02	1.247895e-01	3.589097e+01
1.943623e-02	1.245501e-01	3.601552e+01
1.939029e-02	1.242557e-01	3.613977e+01
1.933590e-02	1.239072e-01	3.626368e+01
1.928944e-02	1.236094e-01	3.638729e+01
1.926032e-02	1.234228e-01	3.651071e+01
1.909428e-02	1.223588e-01	3.663307e+01
1.904934e-02	1.220708e-01	3.675514e+01
1.901660e-02	1.218611e-01	3.687700e+01
1.897655e-02	1.216044e-01	3.699861e+01
1.893771e-02	1.213555e-01	3.711996e+01
1.891139e-02	1.211868e-01	3.724115e+01
1.886152e-02	1.208673e-01	3.736201e+01
1.869874e-02	1.198241e-01	3.748184e+01
1.864184e-02	1.194595e-01	3.760130e+01
1.859219e-02	1.191414e-01	3.772044e+01
1.852755e-02	1.187272e-01	3.783917e+01
1.850044e-02	1.185534e-01	3.795772e+01
1.843566e-02	1.181383e-01	3.807586e+01
1.837354e-02	1.177402e-01	3.819360e+01
1.834456e-02	1.175545e-01	3.831115e+01
1.830398e-02	1.172945e-01	3.842845e+01
1.825050e-02	1.169518e-01	3.854540e+01
1.821741e-02	1.167398e-01	3.866214e+01
1.818302e-02	1.165194e-01	3.877866e+01
1.813976e-02	1.162421e-01	3.889490e+01
1.809664e-02	1.159658e-01	3.901087e+01
1.804839e-02	1.156566e-01	3.912652e+01
1.802958e-02	1.155361e-01	3.924206e+01
1.796998e-02	1.151542e-01	3.935721e+01
1.784270e-02	1.143386e-01	3.947155e+01
1.783376e-02	1.142812e-01	3.958583e+01
1.782509e-02	1.142257e-01	3.970006e+01
1.777214e-02	1.138864e-01	3.981395e+01
1.773598e-02	1.136547e-01	3.992760e+01
1.767987e-02	1.132951e-01	4.004090e+01
1.762894e-02	1.129688e-01	4.015386e+01
1.761880e-02	1.129037e-01	4.026677e+01
1.757472e-02	1.126213e-01	4.037939e+01
1.751828e-02	1.122596e-01	4.049165e+01
1.749926e-02	1.121377e-01	4.060379e+01
1.745338e-02	1.118437e-01	4.071563e+01
1.740468e-02	1.115316e-01	4.082716e+01
1.735933e-02	1.112411e-01	4.093840e+01
1.734960e-02	1.111787e-01	4.104958e+01
