eigenvalue	percentage of variance	cumulative percentage of variance
2.249633e-01	1.445971e+00	1.445971e+00
1.911158e-01	1.228413e+00	2.674384e+00
1.270568e-01	8.166682e-01	3.491052e+00
1.202826e-01	7.731266e-01	4.264179e+00
1.125468e-01	7.234040e-01	4.987583e+00
9.499913e-02	6.106151e-01	5.598198e+00
8.829557e-02	5.675274e-01	6.165725e+00
8.479301e-02	5.450144e-01	6.710740e+00
7.817467e-02	5.024745e-01	7.213214e+00
7.579320e-02	4.871673e-01	7.700381e+00
6.877857e-02	4.420802e-01	8.142462e+00
6.517127e-02	4.188940e-01	8.561356e+00
6.172945e-02	3.967713e-01	8.958127e+00
6.078215e-02	3.906825e-01	9.348809e+00
5.766905e-02	3.706728e-01	9.719482e+00
5.691445e-02	3.658226e-01	1.008530e+01
5.600371e-02	3.599687e-01	1.044527e+01
5.324486e-02	3.422360e-01	1.078751e+01
5.260196e-02	3.381036e-01	1.112561e+01
5.120626e-02	3.291326e-01	1.145475e+01
4.975121e-02	3.197802e-01	1.177453e+01
4.904972e-02	3.152713e-01	1.208980e+01
4.824812e-02	3.101190e-01	1.239992e+01
4.736019e-02	3.044117e-01	1.270433e+01
4.662016e-02	2.996551e-01	1.300398e+01
4.606794e-02	2.961057e-01	1.330009e+01
4.549112e-02	2.923981e-01	1.359249e+01
4.500670e-02	2.892844e-01	1.388177e+01
4.481722e-02	2.880666e-01	1.416984e+01
4.420973e-02	2.841618e-01	1.445400e+01
4.367923e-02	2.807520e-01	1.473475e+01
4.321706e-02	2.777814e-01	1.501253e+01
4.277168e-02	2.749186e-01	1.528745e+01
4.207340e-02	2.704304e-01	1.555788e+01
4.175641e-02	2.683929e-01	1.582627e+01
4.060344e-02	2.609821e-01	1.608726e+01
4.017001e-02	2.581962e-01	1.634545e+01
3.970051e-02	2.551784e-01	1.660063e+01
3.929048e-02	2.525430e-01	1.685317e+01
3.906157e-02	2.510716e-01	1.710425e+01
3.824884e-02	2.458477e-01	1.735009e+01
3.785585e-02	2.433217e-01	1.759342e+01
3.749993e-02	2.410340e-01	1.783445e+01
3.703751e-02	2.380618e-01	1.807251e+01
3.645607e-02	2.343245e-01	1.830684e+01
