eigenvalue	percentage of variance	cumulative percentage of variance
2.240327e-01	1.434055e+00	1.434055e+00
1.910249e-01	1.222769e+00	2.656825e+00
1.285991e-01	8.231753e-01	3.480000e+00
1.174433e-01	7.517664e-01	4.231767e+00
1.117441e-01	7.152853e-01	4.947052e+00
9.818726e-02	6.285063e-01	5.575558e+00
8.644923e-02	5.533701e-01	6.128928e+00
8.283922e-02	5.302621e-01	6.659190e+00
7.889766e-02	5.050317e-01	7.164222e+00
7.449896e-02	4.768752e-01	7.641097e+00
6.922612e-02	4.431233e-01	8.084221e+00
6.524384e-02	4.176322e-01	8.501853e+00
6.297169e-02	4.030880e-01	8.904941e+00
6.114764e-02	3.914121e-01	9.296353e+00
6.061828e-02	3.880236e-01	9.684377e+00
5.821763e-02	3.726568e-01	1.005703e+01
5.695956e-02	3.646037e-01	1.042164e+01
5.469850e-02	3.501305e-01	1.077177e+01
5.388656e-02	3.449332e-01	1.111670e+01
5.161857e-02	3.304156e-01	1.144712e+01
4.922004e-02	3.150624e-01	1.176218e+01
4.865929e-02	3.114729e-01	1.207365e+01
4.813565e-02	3.081211e-01	1.238177e+01
4.749452e-02	3.040171e-01	1.268579e+01
4.708286e-02	3.013820e-01	1.298717e+01
4.684207e-02	2.998407e-01	1.328701e+01
4.581754e-02	2.932826e-01	1.358030e+01
4.541105e-02	2.906806e-01	1.387098e+01
4.511869e-02	2.888092e-01	1.415979e+01
4.437845e-02	2.840709e-01	1.444386e+01
4.304258e-02	2.755198e-01	1.471938e+01
4.289928e-02	2.746025e-01	1.499398e+01
4.224190e-02	2.703946e-01	1.526437e+01
4.197213e-02	2.686678e-01	1.553304e+01
4.159030e-02	2.662236e-01	1.579926e+01
4.116054e-02	2.634727e-01	1.606274e+01
4.073061e-02	2.607206e-01	1.632346e+01
3.983317e-02	2.549761e-01	1.657843e+01
3.948093e-02	2.527213e-01	1.683115e+01
3.902128e-02	2.497791e-01	1.708093e+01
3.895718e-02	2.493688e-01	1.733030e+01
3.860986e-02	2.471455e-01	1.757745e+01
3.799987e-02	2.432409e-01	1.782069e+01
3.769458e-02	2.412867e-01	1.806198e+01
3.669782e-02	2.349063e-01	1.829688e+01
3.645616e-02	2.333595e-01	1.853024e+01
3.627905e-02	2.322258e-01	1.876247e+01
3.554699e-02	2.275398e-01	1.899001e+01
3.545277e-02	2.269367e-01	1.921694e+01
3.509567e-02	2.246508e-01	1.944159e+01
3.484238e-02	2.230295e-01	1.966462e+01
3.435034e-02	2.198799e-01	1.988450e+01
3.373066e-02	2.159133e-01	2.010042e+01
3.350983e-02	2.144998e-01	2.031492e+01
3.326662e-02	2.129430e-01	2.052786e+01
3.306403e-02	2.116461e-01	2.073951e+01
3.227138e-02	2.065723e-01	2.094608e+01
3.202965e-02	2.050250e-01	2.115110e+01
3.181629e-02	2.036592e-01	2.135476e+01
3.133937e-02	2.006064e-01	2.155537e+01
3.097740e-02	1.982894e-01	2.175366e+01
3.088478e-02	1.976965e-01	2.195136e+01
3.067345e-02	1.963438e-01	2.214770e+01
3.036846e-02	1.943915e-01	2.234209e+01
2.985652e-02	1.911145e-01	2.253321e+01
2.963811e-02	1.897165e-01	2.272292e+01
2.954859e-02	1.891435e-01	2.291207e+01
2.951145e-02	1.889057e-01	2.310097e+01
2.916847e-02	1.867102e-01	2.328768e+01
2.897706e-02	1.854850e-01	2.347317e+01
2.888108e-02	1.848706e-01	2.365804e+01
2.866278e-02	1.834733e-01	2.384151e+01
2.817089e-02	1.803247e-01	2.402183e+01
2.784333e-02	1.782279e-01	2.420006e+01
2.749451e-02	1.759951e-01	2.437606e+01
2.722438e-02	1.742659e-01	2.455032e+01
2.713602e-02	1.737003e-01	2.472402e+01
2.684745e-02	1.718532e-01	2.489588e+01
2.657007e-02	1.700776e-01	2.506595e+01
2.644585e-02	1.692825e-01	2.523524e+01
2.615056e-02	1.673923e-01	2.540263e+01
2.609407e-02	1.670307e-01	2.556966e+01
2.592087e-02	1.659220e-01	2.573558e+01
2.591974e-02	1.659148e-01	2.590150e+01
2.570990e-02	1.645716e-01	2.606607e+01
