eigenvalue	percentage of variance	cumulative percentage of variance
2.239194e-01	1.429403e+00	1.429403e+00
1.929114e-01	1.231462e+00	2.660865e+00
1.310224e-01	8.363898e-01	3.497255e+00
1.213564e-01	7.746863e-01	4.271941e+00
1.099458e-01	7.018457e-01	4.973787e+00
9.493765e-02	6.060404e-01	5.579827e+00
8.883852e-02	5.671062e-01	6.146933e+00
8.361694e-02	5.337739e-01	6.680707e+00
7.814775e-02	4.988610e-01	7.179568e+00
7.680299e-02	4.902766e-01	7.669845e+00
7.128519e-02	4.550534e-01	8.124898e+00
6.640972e-02	4.239305e-01	8.548829e+00
6.351058e-02	4.054237e-01	8.954252e+00
6.146890e-02	3.923905e-01	9.346643e+00
6.033538e-02	3.851546e-01	9.731797e+00
5.787185e-02	3.694285e-01	1.010123e+01
5.584109e-02	3.564650e-01	1.045769e+01
5.527136e-02	3.528281e-01	1.081052e+01
5.400295e-02	3.447312e-01	1.115525e+01
5.342824e-02	3.410625e-01	1.149631e+01
4.971308e-02	3.173465e-01	1.181366e+01
4.926060e-02	3.144581e-01	1.212812e+01
4.886672e-02	3.119437e-01	1.244006e+01
4.814064e-02	3.073088e-01	1.274737e+01
4.782334e-02	3.052832e-01	1.305265e+01
4.706259e-02	3.004270e-01	1.335308e+01
4.657444e-02	2.973108e-01	1.365039e+01
4.536906e-02	2.896162e-01	1.394001e+01
4.494367e-02	2.869007e-01	1.422691e+01
4.456903e-02	2.845092e-01	1.451142e+01
4.398569e-02	2.807854e-01	1.479220e+01
4.335790e-02	2.767778e-01	1.506898e+01
4.284643e-02	2.735129e-01	1.534249e+01
4.230605e-02	2.700633e-01	1.561256e+01
4.155862e-02	2.652920e-01	1.587785e+01
4.123872e-02	2.632499e-01	1.614110e+01
4.069875e-02	2.598030e-01	1.640090e+01
3.996430e-02	2.551146e-01	1.665602e+01
3.947441e-02	2.519873e-01	1.690800e+01
3.883544e-02	2.479084e-01	1.715591e+01
3.860114e-02	2.464128e-01	1.740232e+01
3.812519e-02	2.433745e-01	1.764570e+01
3.765929e-02	2.404004e-01	1.788610e+01
3.762605e-02	2.401882e-01	1.812629e+01
3.715091e-02	2.371551e-01	1.836344e+01
3.671307e-02	2.343602e-01	1.859780e+01
3.589419e-02	2.291328e-01	1.882694e+01
3.534388e-02	2.256198e-01	1.905256e+01
3.522642e-02	2.248700e-01	1.927743e+01
3.474603e-02	2.218034e-01	1.949923e+01
3.461526e-02	2.209686e-01	1.972020e+01
3.436574e-02	2.193758e-01	1.993957e+01
3.371994e-02	2.152533e-01	2.015483e+01
3.336863e-02	2.130107e-01	2.036784e+01
3.310035e-02	2.112981e-01	2.057914e+01
3.246509e-02	2.072429e-01	2.078638e+01
3.221409e-02	2.056406e-01	2.099202e+01
3.167362e-02	2.021905e-01	2.119421e+01
3.138830e-02	2.003692e-01	2.139458e+01
3.126079e-02	1.995552e-01	2.159413e+01
3.113816e-02	1.987723e-01	2.179291e+01
3.063267e-02	1.955455e-01	2.198845e+01
3.017327e-02	1.926129e-01	2.218106e+01
3.005363e-02	1.918492e-01	2.237291e+01
2.968458e-02	1.894934e-01	2.256241e+01
2.945261e-02	1.880126e-01	2.275042e+01
2.911089e-02	1.858311e-01	2.293625e+01
2.870068e-02	1.832126e-01	2.311946e+01
2.854483e-02	1.822177e-01	2.330168e+01
2.825341e-02	1.803574e-01	2.348204e+01
2.806904e-02	1.791805e-01	2.366122e+01
2.781524e-02	1.775603e-01	2.383878e+01
2.760707e-02	1.762314e-01	2.401501e+01
2.749060e-02	1.754880e-01	2.419050e+01
2.730592e-02	1.743091e-01	2.436481e+01
2.723312e-02	1.738443e-01	2.453865e+01
2.717128e-02	1.734495e-01	2.471210e+01
2.689737e-02	1.717010e-01	2.488380e+01
2.639903e-02	1.685198e-01	2.505232e+01
2.636011e-02	1.682714e-01	2.522059e+01
2.608994e-02	1.665467e-01	2.538714e+01
2.574082e-02	1.643181e-01	2.555146e+01
2.565195e-02	1.637508e-01	2.571521e+01
2.559474e-02	1.633856e-01	2.587859e+01
2.541915e-02	1.622647e-01	2.604086e+01
2.522777e-02	1.610431e-01	2.620190e+01
2.507993e-02	1.600993e-01	2.636200e+01
2.499280e-02	1.595431e-01	2.652155e+01
2.491643e-02	1.590556e-01	2.668060e+01
2.456864e-02	1.568354e-01	2.683744e+01
2.451982e-02	1.565238e-01	2.699396e+01
2.436658e-02	1.555455e-01	2.714951e+01
2.431297e-02	1.552034e-01	2.730471e+01
2.420749e-02	1.545300e-01	2.745924e+01
2.395119e-02	1.528939e-01	2.761213e+01
