eigenvalue	percentage of variance	cumulative percentage of variance
2.273539e-01	1.460934e+00	1.460934e+00
1.914986e-01	1.230535e+00	2.691468e+00
1.298449e-01	8.343590e-01	3.525827e+00
1.196363e-01	7.687605e-01	4.294588e+00
1.103588e-01	7.091454e-01	5.003733e+00
9.418222e-02	6.051974e-01	5.608931e+00
8.897903e-02	5.717627e-01	6.180693e+00
8.613686e-02	5.534994e-01	6.734193e+00
7.885906e-02	5.067336e-01	7.240926e+00
7.814318e-02	5.021335e-01	7.743060e+00
6.749387e-02	4.337031e-01	8.176763e+00
6.527677e-02	4.194564e-01	8.596219e+00
6.376455e-02	4.097391e-01	9.005958e+00
6.215431e-02	3.993920e-01	9.405350e+00
6.113344e-02	3.928321e-01	9.798182e+00
5.973835e-02	3.838675e-01	1.018205e+01
5.682032e-02	3.651168e-01	1.054717e+01
5.516444e-02	3.544764e-01	1.090164e+01
5.211767e-02	3.348984e-01	1.123654e+01
5.028534e-02	3.231242e-01	1.155967e+01
4.980228e-02	3.200202e-01	1.187969e+01
4.885806e-02	3.139528e-01	1.219364e+01
4.826164e-02	3.101203e-01	1.250376e+01
4.766048e-02	3.062574e-01	1.281002e+01
4.626583e-02	2.972956e-01	1.310731e+01
4.551615e-02	2.924783e-01	1.339979e+01
4.517254e-02	2.902703e-01	1.369006e+01
4.442186e-02	2.854466e-01	1.397551e+01
4.409219e-02	2.833282e-01	1.425884e+01
4.380488e-02	2.814820e-01	1.454032e+01
4.291930e-02	2.757914e-01	1.481611e+01
4.229300e-02	2.717670e-01	1.508788e+01
4.196027e-02	2.696289e-01	1.535750e+01
4.166831e-02	2.677528e-01	1.562526e+01
4.103805e-02	2.637028e-01	1.588896e+01
4.099033e-02	2.633962e-01	1.615236e+01
4.073513e-02	2.617564e-01	1.641411e+01
3.999130e-02	2.569767e-01	1.667109e+01
3.921493e-02	2.519879e-01	1.692308e+01
3.878895e-02	2.492506e-01	1.717233e+01
3.831404e-02	2.461989e-01	1.741853e+01
3.789393e-02	2.434993e-01	1.766203e+01
3.766668e-02	2.420391e-01	1.790407e+01
3.690913e-02	2.371712e-01	1.814124e+01
3.649130e-02	2.344863e-01	1.837572e+01
3.624776e-02	2.329214e-01	1.860864e+01
3.581106e-02	2.301152e-01	1.883876e+01
3.520802e-02	2.262402e-01	1.906500e+01
3.476326e-02	2.233822e-01	1.928838e+01
3.405591e-02	2.188369e-01	1.950722e+01
3.383215e-02	2.173991e-01	1.972462e+01
3.343927e-02	2.148745e-01	1.993949e+01
3.304614e-02	2.123484e-01	2.015184e+01
3.260593e-02	2.095196e-01	2.036136e+01
3.250253e-02	2.088552e-01	2.057022e+01
3.191851e-02	2.051024e-01	2.077532e+01
3.158832e-02	2.029806e-01	2.097830e+01
3.125780e-02	2.008568e-01	2.117916e+01
3.109108e-02	1.997855e-01	2.137894e+01
3.082522e-02	1.980771e-01	2.157702e+01
3.036292e-02	1.951065e-01	2.177212e+01
3.013228e-02	1.936244e-01	2.196575e+01
3.000847e-02	1.928288e-01	2.215858e+01
2.938357e-02	1.888134e-01	2.234739e+01
2.930008e-02	1.882768e-01	2.253567e+01
2.915699e-02	1.873574e-01	2.272303e+01
2.907058e-02	1.868022e-01	2.290983e+01
2.866218e-02	1.841778e-01	2.309401e+01
2.857375e-02	1.836096e-01	2.327761e+01
2.832923e-02	1.820384e-01	2.345965e+01
2.821472e-02	1.813025e-01	2.364096e+01
2.803736e-02	1.801628e-01	2.382112e+01
2.778106e-02	1.785159e-01	2.399963e+01
2.761814e-02	1.774691e-01	2.417710e+01
2.744530e-02	1.763584e-01	2.435346e+01
2.713910e-02	1.743908e-01	2.452785e+01
2.702887e-02	1.736825e-01	2.470154e+01
2.689453e-02	1.728193e-01	2.487435e+01
2.682897e-02	1.723980e-01	2.504675e+01
2.674653e-02	1.718682e-01	2.521862e+01
2.642886e-02	1.698269e-01	2.538845e+01
2.636183e-02	1.693962e-01	2.555784e+01
2.607910e-02	1.675794e-01	2.572542e+01
2.594777e-02	1.667356e-01	2.589216e+01
2.574117e-02	1.654079e-01	2.605757e+01
2.557677e-02	1.643515e-01	2.622192e+01
2.545079e-02	1.635421e-01	2.638546e+01
2.532667e-02	1.627445e-01	2.654820e+01
2.507013e-02	1.610960e-01	2.670930e+01
2.486656e-02	1.597879e-01	2.686909e+01
2.478087e-02	1.592373e-01	2.702833e+01
2.458138e-02	1.579554e-01	2.718628e+01
2.451844e-02	1.575509e-01	2.734383e+01
2.434860e-02	1.564596e-01	2.750029e+01
2.421133e-02	1.555775e-01	2.765587e+01
2.412352e-02	1.550132e-01	2.781088e+01
2.404201e-02	1.544895e-01	2.796537e+01
2.390650e-02	1.536187e-01	2.811899e+01
2.378398e-02	1.528314e-01	2.827182e+01
2.363359e-02	1.518651e-01	2.842369e+01
2.353463e-02	1.512291e-01	2.857492e+01
2.331870e-02	1.498416e-01	2.872476e+01
2.313795e-02	1.486802e-01	2.887344e+01
2.311972e-02	1.485630e-01	2.902200e+01
2.297318e-02	1.476214e-01	2.916962e+01
2.284505e-02	1.467980e-01	2.931642e+01
2.276288e-02	1.462700e-01	2.946269e+01
2.268796e-02	1.457886e-01	2.960848e+01
2.245204e-02	1.442726e-01	2.975275e+01
2.244468e-02	1.442253e-01	2.989698e+01
2.237425e-02	1.437727e-01	3.004075e+01
2.231348e-02	1.433823e-01	3.018413e+01
2.218616e-02	1.425641e-01	3.032670e+01
2.212196e-02	1.421516e-01	3.046885e+01
2.207431e-02	1.418454e-01	3.061069e+01
2.200680e-02	1.414116e-01	3.075210e+01
