eigenvalue	percentage of variance	cumulative percentage of variance
2.266477e-01	1.451193e+00	1.451193e+00
1.880513e-01	1.204066e+00	2.655259e+00
1.291688e-01	8.270496e-01	3.482309e+00
1.174424e-01	7.519670e-01	4.234276e+00
1.151103e-01	7.370351e-01	4.971311e+00
9.608943e-02	6.152470e-01	5.586558e+00
8.809079e-02	5.640328e-01	6.150591e+00
8.721430e-02	5.584208e-01	6.709011e+00
8.032823e-02	5.143303e-01	7.223342e+00
7.764506e-02	4.971503e-01	7.720492e+00
7.020812e-02	4.495326e-01	8.170025e+00
6.441039e-02	4.124106e-01	8.582435e+00
6.317831e-02	4.045218e-01	8.986957e+00
6.033144e-02	3.862936e-01	9.373251e+00
5.881014e-02	3.765530e-01	9.749803e+00
5.736316e-02	3.672882e-01	1.011709e+01
5.621519e-02	3.599379e-01	1.047703e+01
5.418061e-02	3.469108e-01	1.082394e+01
5.220936e-02	3.342891e-01	1.115823e+01
5.025461e-02	3.217731e-01	1.148000e+01
4.968110e-02	3.181010e-01	1.179810e+01
4.922135e-02	3.151573e-01	1.211326e+01
4.843438e-02	3.101185e-01	1.242338e+01
4.731883e-02	3.029757e-01	1.272636e+01
4.681171e-02	2.997287e-01	1.302608e+01
4.650950e-02	2.977937e-01	1.332388e+01
4.594383e-02	2.941718e-01	1.361805e+01
4.559934e-02	2.919661e-01	1.391002e+01
4.474987e-02	2.865271e-01	1.419654e+01
4.447444e-02	2.847635e-01	1.448131e+01
4.375643e-02	2.801662e-01	1.476147e+01
4.347494e-02	2.783639e-01	1.503984e+01
4.287272e-02	2.745079e-01	1.531434e+01
4.200493e-02	2.689516e-01	1.558330e+01
4.146902e-02	2.655203e-01	1.584882e+01
4.133583e-02	2.646675e-01	1.611348e+01
4.059981e-02	2.599548e-01	1.637344e+01
3.990244e-02	2.554896e-01	1.662893e+01
3.927917e-02	2.514990e-01	1.688043e+01
3.888628e-02	2.489833e-01	1.712941e+01
3.854130e-02	2.467744e-01	1.737618e+01
3.803097e-02	2.435069e-01	1.761969e+01
3.764252e-02	2.410197e-01	1.786071e+01
3.735421e-02	2.391737e-01	1.809988e+01
3.676050e-02	2.353722e-01	1.833526e+01
3.645631e-02	2.334246e-01	1.856868e+01
3.582399e-02	2.293759e-01	1.879806e+01
3.564137e-02	2.282066e-01	1.902626e+01
3.513703e-02	2.249774e-01	1.925124e+01
3.472714e-02	2.223529e-01	1.947359e+01
3.457961e-02	2.214084e-01	1.969500e+01
3.376710e-02	2.162059e-01	1.991121e+01
3.358261e-02	2.150247e-01	2.012623e+01
3.320277e-02	2.125926e-01	2.033883e+01
3.297205e-02	2.111154e-01	2.054994e+01
3.266461e-02	2.091468e-01	2.075909e+01
3.211349e-02	2.056181e-01	2.096471e+01
3.174434e-02	2.032545e-01	2.116796e+01
3.165579e-02	2.026875e-01	2.137065e+01
3.123156e-02	1.999713e-01	2.157062e+01
3.091043e-02	1.979151e-01	2.176853e+01
3.064667e-02	1.962263e-01	2.196476e+01
3.024493e-02	1.936540e-01	2.215842e+01
2.986802e-02	1.912407e-01	2.234966e+01
2.970395e-02	1.901902e-01	2.253985e+01
2.936695e-02	1.880324e-01	2.272788e+01
2.913722e-02	1.865615e-01	2.291444e+01
2.887331e-02	1.848717e-01	2.309931e+01
2.871335e-02	1.838475e-01	2.328316e+01
2.859892e-02	1.831148e-01	2.346627e+01
2.822978e-02	1.807512e-01	2.364703e+01
2.810418e-02	1.799471e-01	2.382697e+01
2.797633e-02	1.791285e-01	2.400610e+01
2.770254e-02	1.773754e-01	2.418348e+01
2.758911e-02	1.766492e-01	2.436013e+01
2.738107e-02	1.753171e-01	2.453544e+01
2.723712e-02	1.743954e-01	2.470984e+01
2.700530e-02	1.729111e-01	2.488275e+01
2.674354e-02	1.712351e-01	2.505398e+01
2.669106e-02	1.708991e-01	2.522488e+01
2.649907e-02	1.696698e-01	2.539455e+01
2.621823e-02	1.678716e-01	2.556242e+01
2.607802e-02	1.669738e-01	2.572940e+01
2.594946e-02	1.661507e-01	2.589555e+01
2.584887e-02	1.655066e-01	2.606106e+01
2.573110e-02	1.647526e-01	2.622581e+01
2.546613e-02	1.630560e-01	2.638886e+01
2.532724e-02	1.621667e-01	2.655103e+01
2.521205e-02	1.614292e-01	2.671246e+01
2.509401e-02	1.606734e-01	2.687313e+01
2.498898e-02	1.600009e-01	2.703313e+01
2.481294e-02	1.588738e-01	2.719201e+01
2.471893e-02	1.582718e-01	2.735028e+01
2.462538e-02	1.576728e-01	2.750795e+01
2.445755e-02	1.565982e-01	2.766455e+01
2.435547e-02	1.559446e-01	2.782050e+01
2.426823e-02	1.553860e-01	2.797588e+01
2.406892e-02	1.541099e-01	2.812999e+01
2.402598e-02	1.538349e-01	2.828383e+01
2.385778e-02	1.527580e-01	2.843658e+01
2.364570e-02	1.514001e-01	2.858798e+01
2.357506e-02	1.509477e-01	2.873893e+01
2.356465e-02	1.508811e-01	2.888981e+01
2.346301e-02	1.502303e-01	2.904004e+01
2.342002e-02	1.499551e-01	2.919000e+01
2.321519e-02	1.486436e-01	2.933864e+01
2.317000e-02	1.483542e-01	2.948700e+01
2.296881e-02	1.470661e-01	2.963406e+01
2.286214e-02	1.463831e-01	2.978045e+01
2.261215e-02	1.447824e-01	2.992523e+01
2.255219e-02	1.443985e-01	3.006963e+01
2.250200e-02	1.440771e-01	3.021370e+01
2.244076e-02	1.436850e-01	3.035739e+01
2.231006e-02	1.428481e-01	3.050024e+01
2.221912e-02	1.422659e-01	3.064250e+01
2.216557e-02	1.419230e-01	3.078443e+01
2.212399e-02	1.416568e-01	3.092608e+01
2.210874e-02	1.415591e-01	3.106764e+01
2.190139e-02	1.402315e-01	3.120787e+01
2.185138e-02	1.399113e-01	3.134778e+01
2.170958e-02	1.390033e-01	3.148679e+01
2.167817e-02	1.388023e-01	3.162559e+01
2.153494e-02	1.378852e-01	3.176347e+01
2.149570e-02	1.376339e-01	3.190111e+01
2.140076e-02	1.370260e-01	3.203813e+01
2.135612e-02	1.367402e-01	3.217488e+01
2.130772e-02	1.364303e-01	3.231131e+01
2.123562e-02	1.359687e-01	3.244727e+01
2.117466e-02	1.355783e-01	3.258285e+01
2.102141e-02	1.345971e-01	3.271745e+01
2.098246e-02	1.343477e-01	3.285180e+01
2.092851e-02	1.340023e-01	3.298580e+01
2.084305e-02	1.334551e-01	3.311925e+01
2.081074e-02	1.332482e-01	3.325250e+01
2.072357e-02	1.326901e-01	3.338519e+01
2.069700e-02	1.325199e-01	3.351771e+01
2.066925e-02	1.323423e-01	3.365005e+01
2.050057e-02	1.312623e-01	3.378132e+01
2.042610e-02	1.307854e-01	3.391210e+01
2.035616e-02	1.303376e-01	3.404244e+01
2.033705e-02	1.302152e-01	3.417266e+01
2.025428e-02	1.296853e-01	3.430234e+01
