eigenvalue	percentage of variance	cumulative percentage of variance
2.236735e-01	1.431756e+00	1.431756e+00
1.918543e-01	1.228079e+00	2.659835e+00
1.330106e-01	8.514138e-01	3.511249e+00
1.201193e-01	7.688957e-01	4.280144e+00
1.077338e-01	6.896147e-01	4.969759e+00
9.484296e-02	6.070992e-01	5.576858e+00
9.116163e-02	5.835346e-01	6.160393e+00
8.527847e-02	5.458759e-01	6.706269e+00
7.834770e-02	5.015114e-01	7.207780e+00
7.686611e-02	4.920276e-01	7.699808e+00
6.971509e-02	4.462532e-01	8.146061e+00
6.613420e-02	4.233316e-01	8.569392e+00
6.463841e-02	4.137569e-01	8.983149e+00
6.235943e-02	3.991689e-01	9.382318e+00
6.035864e-02	3.863616e-01	9.768680e+00
5.909519e-02	3.782742e-01	1.014695e+01
5.648018e-02	3.615352e-01	1.050849e+01
5.484365e-02	3.510596e-01	1.085955e+01
5.253097e-02	3.362559e-01	1.119580e+01
5.035868e-02	3.223509e-01	1.151816e+01
4.991470e-02	3.195089e-01	1.183766e+01
4.880042e-02	3.123763e-01	1.215004e+01
4.862563e-02	3.112575e-01	1.246130e+01
4.809384e-02	3.078534e-01	1.276915e+01
4.736592e-02	3.031940e-01	1.307235e+01
4.720994e-02	3.021955e-01	1.337454e+01
4.661418e-02	2.983819e-01	1.367292e+01
4.586041e-02	2.935570e-01	1.396648e+01
4.503041e-02	2.882441e-01	1.425472e+01
4.454356e-02	2.851278e-01	1.453985e+01
4.381944e-02	2.804926e-01	1.482034e+01
4.305173e-02	2.755784e-01	1.509592e+01
4.293989e-02	2.748625e-01	1.537079e+01
4.238118e-02	2.712861e-01	1.564207e+01
4.149007e-02	2.655820e-01	1.590765e+01
4.108998e-02	2.630210e-01	1.617067e+01
4.088336e-02	2.616985e-01	1.643237e+01
4.046553e-02	2.590239e-01	1.669140e+01
4.027063e-02	2.577763e-01	1.694917e+01
3.972212e-02	2.542652e-01	1.720344e+01
3.901552e-02	2.497422e-01	1.745318e+01
3.870411e-02	2.477488e-01	1.770093e+01
3.804480e-02	2.435285e-01	1.794446e+01
3.747111e-02	2.398563e-01	1.818431e+01
3.704072e-02	2.371013e-01	1.842142e+01
3.690919e-02	2.362594e-01	1.865768e+01
3.646428e-02	2.334115e-01	1.889109e+01
3.619707e-02	2.317010e-01	1.912279e+01
3.578716e-02	2.290772e-01	1.935186e+01
3.530927e-02	2.260181e-01	1.957788e+01
3.472408e-02	2.222723e-01	1.980016e+01
3.443531e-02	2.204238e-01	2.002058e+01
3.417203e-02	2.187385e-01	2.023932e+01
3.374552e-02	2.160084e-01	2.045533e+01
3.333485e-02	2.133797e-01	2.066871e+01
3.296463e-02	2.110098e-01	2.087972e+01
3.261560e-02	2.087757e-01	2.108849e+01
3.241971e-02	2.075218e-01	2.129601e+01
3.201323e-02	2.049198e-01	2.150093e+01
3.161514e-02	2.023716e-01	2.170330e+01
3.141556e-02	2.010941e-01	2.190440e+01
3.088822e-02	1.977186e-01	2.210212e+01
3.068764e-02	1.964346e-01	2.229855e+01
3.045884e-02	1.949700e-01	2.249352e+01
3.043824e-02	1.948382e-01	2.268836e+01
2.968130e-02	1.899929e-01	2.287835e+01
2.948551e-02	1.887396e-01	2.306709e+01
2.943590e-02	1.884221e-01	2.325551e+01
2.931724e-02	1.876626e-01	2.344318e+01
2.919910e-02	1.869063e-01	2.363008e+01
2.888787e-02	1.849141e-01	2.381500e+01
2.873141e-02	1.839126e-01	2.399891e+01
2.842305e-02	1.819388e-01	2.418085e+01
2.830912e-02	1.812095e-01	2.436206e+01
2.795104e-02	1.789173e-01	2.454098e+01
2.772781e-02	1.774884e-01	2.471846e+01
2.743868e-02	1.756377e-01	2.489410e+01
2.731158e-02	1.748241e-01	2.506893e+01
2.711909e-02	1.735920e-01	2.524252e+01
2.686854e-02	1.719882e-01	2.541451e+01
2.674577e-02	1.712023e-01	2.558571e+01
2.654410e-02	1.699114e-01	2.575562e+01
2.630227e-02	1.683634e-01	2.592398e+01
2.609547e-02	1.670397e-01	2.609102e+01
2.593535e-02	1.660148e-01	2.625704e+01
2.574019e-02	1.647655e-01	2.642180e+01
2.564845e-02	1.641783e-01	2.658598e+01
2.553686e-02	1.634640e-01	2.674945e+01
2.548384e-02	1.631246e-01	2.691257e+01
2.535784e-02	1.623180e-01	2.707489e+01
2.499465e-02	1.599932e-01	2.723488e+01
2.495597e-02	1.597456e-01	2.739463e+01
2.482505e-02	1.589076e-01	2.755353e+01
2.473525e-02	1.583328e-01	2.771187e+01
2.450770e-02	1.568762e-01	2.786874e+01
2.439372e-02	1.561466e-01	2.802489e+01
2.417793e-02	1.547653e-01	2.817966e+01
2.410252e-02	1.542826e-01	2.833394e+01
2.396063e-02	1.533744e-01	2.848731e+01
2.383053e-02	1.525416e-01	2.863985e+01
2.360617e-02	1.511055e-01	2.879096e+01
2.347028e-02	1.502356e-01	2.894120e+01
2.339049e-02	1.497248e-01	2.909092e+01
2.321518e-02	1.486027e-01	2.923952e+01
2.309154e-02	1.478112e-01	2.938733e+01
2.299368e-02	1.471849e-01	2.953452e+01
2.293573e-02	1.468139e-01	2.968133e+01
2.271060e-02	1.453728e-01	2.982671e+01
2.264351e-02	1.449433e-01	2.997165e+01
2.256410e-02	1.444350e-01	3.011608e+01
2.250303e-02	1.440441e-01	3.026013e+01
2.243410e-02	1.436029e-01	3.040373e+01
